Product Name,Company,Supplier,Current Stock,Batch,Unit,Cost Price,M.R.P.,Purchase Price,Rec.Date,EXP,Inv.No,Inv.Date
PANTOCID IT 10*119,SUN,SHRI RADHEY MEDICAL AGENCY,0.4,SID0799A,CAP,207.58,279.0,199.29,02-Jul-22,2023-12-01,G10770,01-Jul-22
MONOCEF O CV 100 SYP 30 ML,ARISTO,TULSYAN PHARMA,2.0,DCP220736,SYP,113.52,165.0,117.86,14-Mar-23,2023-12-01,G38769,10-Mar-23
PANTOCID HP KIT 1*1,SUN PHARMA,SHRI RADHEY MEDICAL AGENCY,7.0,FJZ0001,TAB.,148.05,199.0,142.14,24-Aug-23,2023-12-01,G17241,22-Aug-23
VOVERAN-50 GE 15*R,NOVARTIS/CIBA,SHRI RADHEY MEDICAL AGENCY,0.0,616G8F2,TAB.,80.19,108.95,77.82,18-Sep-22,2023-12-01,G20341,18-Sep-22
B-29 AQ INJ 1*1,CORONA REMEDIES PVT LTD,ASHISH MEDICAL AGENCIES,4.0,L-2207051,INJ,41.96,55.8,39.86,11-Apr-23,2023-12-01,A001277,10-Apr-23
DORSUN T E/D 5 ML,SUNWAYS,SHRI RANI SATI ASSOCIATES,2.0,DT-2112,DROP,160.17,213.0,152.14,29-Jun-22,2023-12-01,A001781,28-Jun-22
MAXGALIP-AT 10*86,SUN,AMAR MEDICAL AGENCIES,6.0,RFZ0043,TAB.,167.4,225.0,160.71,30-Oct-22,2023-12-01,G19182,29-Oct-22
ZINCITOTAL SUSPENSION 200ML,MACLEODS,LARI DRUG DISTRIBUTORS,1.0,ZTS22037,SUP.,111.68,148.5,100.68,11-Nov-22,2023-12-01,A033997,10-Nov-22
PANTOP 20 1*10,CADILA,SHRI RADHEY MEDICAL AGENCY,0.0,SPG211086,TAB.,52.56,70.65,50.46,02-Oct-21,2023-12-01,G23339,01-Oct-21
MONTINA-FX 10*,ARISTO,SHRI RADHEY MEDICAL AGENCY,1.5,BPA220196,TAB.,43.99,65.0,46.43,27-Sep-22,2023-12-01,G21434,26-Sep-22
OPTIGOLD TAB 1*10,AJANTA PHARMA,TANISHQ PHARMA,0.0,2T22097,TAB.,203.8,271.0,183.73,12-Apr-23,2023-12-01,A001592,11-Apr-23
MEFTAL-P SYP 1*60ML,BLUE CROSS,PL MEDICAL AGENCY,1.0,PZ2212,SYP,22.68,33.5,23.93,13-Sep-22,2023-12-01,A010319,12-Sep-22
VOGLI 0.2 1*10,MEDLEY,PHARMA DISTRIBUTORS,1.0,E20119,TAB.,87.69,111.0,83.29,11-Oct-22,2023-12-01,017394,10-Oct-22
MYCOCLIN  CREAM BIG 30 GM,ANIXA,MUKTA DISTRIBUTORS,1.0,2040,CREM,214.52,258.0,203.77,15-Jan-23,2023-12-01,MDA047230,14-Jan-23
VILTAS M 15*,TAS MED (INDIA),VIKASH MEDICAL AGENCIES,0.6,TMT0672,TAB.,55.27,73.5,52.5,11-May-21,2023-12-01,0003036,10-May-21
VILTAS M 15*,TAS MED (INDIA),VIKASH MEDICAL AGENCIES,2.0,TMT2189,TAB.,55.27,73.5,52.5,05-May-22,2023-12-01,0002417,04-May-22
NEXPRO-L 10*R,TORRENT,SHRI RADHEY MEDICAL AGENCY,0.1,OBF8J004,TAB.,214.55,291.5,208.21,25-Sep-22,2023-12-01,G21244,24-Sep-22
MUCOTAB TAB 1*10,GERMAN REMEDIES,AGRA DRUG HOUSE,4.2,I200127,TAB.,242.55,326.0,232.86,04-Aug-23,2023-12-01,A08045,02-Aug-23
DOXOVENT-400 10*29,GLENMARK,AMBEY MEDICAL AGENCIES,1.5,GT220013,TAB.,21.8,29.0,20.71,06-May-22,2023-12-01,A003819,05-May-22
MOXICOOL DX 10 ML3,SION HEALTHCARE,TANISHQ PHARMA,1.0,SH2201027A,TAB.,76.09,100.0,72.27,02-Mar-23,2023-12-01,A042922,01-Mar-23
NISHQ 0.5 1*10,KIVI LABS LTD,BHUWAN AGENCIES,2.0,11N07,TAB.,38.02,49.5,35.36,14-Sep-22,2023-12-01,B22A06240,13-Sep-22
MIGRASAF-NEW 1*10,GALCARE PHARMACEUTICALS,KRISHNA MEDICAL AGENCY,6.0,MT2201,TAB.,70.32,93.5,66.79,09-Feb-23,2023-12-01,000755,08-Feb-23
DOXOLIN-400 30*R,ZYDUS HELTHCARE LTD,SHRI RADHEY MEDICAL AGENCY,0.0,I200090,TAB.,78.86,104.88,74.91,04-Apr-22,2023-12-01,G00400,04-Apr-22
BUDECORT 0.5 RESP 1*5,CIPLA,SHRI RADHEY MEDICAL AGENCY,31.3,SA20284,RESP,15.84,119.45,17.08,17-May-22,2023-12-01,G05499,16-May-22
DPVIL M 500 1*10,AZKKA PHARMACEUTICALS PVT LTD,GOPAL MEDICALS,1.0,PVOAY13,TAB.,60.05,79.0,56.44,28-Feb-23,2023-12-01,GP39786,27-Feb-23
MOXIGAP CV 625 LB 1*6,EVERWELL PHARMA PVT LTD,SHIVA PHARMA,1.0,VTB727,TAB.,117.8,155.0,110.71,30-Sep-22,2023-12-01,A05203,30-Sep-22
OLKEM 40 AM 1*15,ALKEM,DHANUKA MEDICAL AGENCY,0.2,22440046,TAB.,291.77,388.0,277.14,27-Aug-22,2023-12-01,A013213,26-Aug-22
METROGYL 200 1*15,CADILA,NEW LARI MEDICAL AGENCIES,0.4,AM20001,TAB.,6.23,11.42,5.8,25-Jun-20,2023-12-01,D0008984,22-Jun-20
DIGIFINE 1*10,FSSAI,LARI DRUG DISTRIBUTORS,1.0,22F3013MS,TAB.,117.31,156.0,105.76,18-Mar-23,2023-12-01,A053115,17-Mar-23
MOXISURGE 5 ML,IPCA,SHRI RANI SATI ASSOCIATES,2.0,2H011004Y,DRO.,110.53,147.0,104.99,26-Aug-23,2023-12-01,A002172,24-Aug-23
MET STAMLO 1*10,DR. REDDY'S,BHARAT MEDICAL AGENCIES,2.0,B2201599,TAB.,100.77,134.0,95.71,10-Nov-22,2023-12-01,G37741,09-Nov-22
DIGENE MINT TAB 15*31,KNOLL,RAJ MEDICAL AGENCIES,0.0,250007D7,TAB,12.46,19.96,14.26,21-Jun-21,2023-12-01,0006251,19-Jun-21
MUCINAC 600 10*R,CIPLA,TULSYAN TRADERS,0.1,SB20102,TAB.,187.82,266.8,190.57,22-Sep-22,2023-12-01,C17708,21-Sep-22
MIGRALES PLUS 10*R,DYCINE PHARMA,AMAN MEDICAL AGENCIES,1.4,PAXOT09,TAB.,80.98,107.69,76.92,07-Oct-22,2023-12-01,A007870,07-Oct-22
DICORATE ER750 10*29,SUN,NARAYAN MEDICAL AGENCY,2.0,GKD0030A,TAB.,143.53,195.0,139.29,26-May-22,2023-12-01,A002512,25-May-22
MEFTAL FORTE 1*10,BLUE CROSS,TULSYAN TRADERS,0.1,ZGT2125,TAB.,30.98,44.0,31.43,05-Jun-21,2023-12-01,C07111,04-Jun-21
BNC CAP 1*10,AGLOWMED,ANTIBIOTIC HOUSE,3.2,C192208,CAP,41.02,60.0,40.68,14-Feb-23,2023-12-01,A006162,13-Feb-23
AB-FLO 1*10,LUPIN,SHRI RADHEY MEDICAL AGENCY,1.1,002A22JQ,CAP.,116.5,156.6,111.85,19-Oct-22,2023-12-01,G24149,18-Oct-22
NUZIDE XL 60 1*10,INTAS PHARMACEUTICALS LTD.,TULSYAN PHARMA,0.8,V2200075,TAB.,49.48,66.5,47.5,16-Jul-22,2023-12-01,G13419,15-Jul-22
OLAPAX 2.5 10*,RELIANCE,AMBEY MEDICAL AGENCIES,3.0,1240,TAB.,19.55,26.0,18.57,13-Aug-21,2023-12-01,0012893,12-Aug-21
B-LONG TAB 1*30,CADILA,SHRI RADHEY MEDICAL AGENCY,0.8,2HV7H023,TAB.,110.76,147.3,105.21,23-Jun-22,2023-12-01,G09773,22-Jun-22
DRUCAL MC 10*,8 DRUKST BIOTECH,VIKASH MEDICAL AGENCIES,2.0,N2201109,TAB.,147.58,190.0,138.7,02-Jul-22,2023-12-01,0006507,01-Jul-22
AB-FLO 1*10,LUPIN,SHRI RADHEY MEDICAL AGENCY,0.1,003A22JQ,CAP.,116.51,156.6,111.86,15-Dec-22,2023-12-01,G31813,14-Dec-22
CA-10 1*10,ABPL,AMBEY MEDICAL AGENCIES,1.0,EFT-3315,TAB.,432.34,690.0,467.73,11-Nov-22,2023-12-01,A023765,10-Nov-22
MOSIBA 1*10,BENNET PHARMA,MUKTA DISTRIBUTORS,0.0,BPLT-22022,TAB.,40.04,51.1,38.03,18-Oct-22,2023-12-01,MDA032534,17-Oct-22
DEPLATT CV 20 1*10,TORRENT,SHRI RADHEY MEDICAL AGENCY,1.7,TOR22A013,CAP.,83.47,111.0,79.28,21-Feb-23,2023-12-01,G41176,20-Feb-23
MELOSET 3MG TAB 1*10,ARISTO,AGRAWAL MEDICINE,0.1,MPA220426,TAB,34.55,49.0,35.0,17-Aug-22,2023-12-01,0573,16-Aug-22
BROCLEAR TAB 10*14,INTAS,AMBEY MEDICAL AGENCIES,0.6,N2200009,TAB.,157.17,209.0,149.29,17-Aug-22,2023-12-01,A013913,16-Aug-22
MYLAMIN CAP 10*85,MACLEODS,SHRI RADHEY MEDICAL AGENCY,0.5,G624017,TAB.,46.73,62.15,44.39,03-Sep-22,2023-12-01,G18458,02-Sep-22
NEUROTRAT LM 1*10,ZYDUS FORTIZA,AGRAWAL MEDICINE,1.0,MT220497,TAB.,105.07,139.7,99.79,09-Jun-22,2023-12-01,L003117,08-Jun-22
MOX 500 15*,SUN PHARMACEUTICALS,AGRAWAL MEDICINE,0.4,DFD0091A,CAP.,76.52,108.7,77.64,09-Jul-22,2023-12-01,A021550,08-Jul-22
MISOPROST 200 1*4,CIPLA,SHRI RADHEY MEDICAL AGENCY,0.0,GH20552,TAB.,55.9,82.58,58.99,13-Oct-22,2023-12-01,G23318,12-Oct-22
MYOSET-D 1*10,SPARK REMEDIES,BAJRANG PHARMA,1.0,C-220101,TAB.,198.95,259.0,186.98,22-Mar-22,2023-12-01,0047762,21-Mar-22
BELISHINE CAP 1*10,SHINE & SHINE LAB,NARAYAN MEDICAL AGENCY,1.0,HPFC357,TAB.,202.16,270.0,182.25,29-May-23,2023-12-01,A003013,29-May-23
DIPWELL 20 1*10,DYCINE PHARMA,GOPAL MEDICALS,2.0,PAXOG05,TAB.,97.76,130.0,92.86,09-Aug-23,2023-12-01,GPL13917,05-Aug-23
OLMEZEST H 20 1*10,CADILA,SHRI RADHEY MEDICAL AGENCY,1.0,SIC1883A,TAB.,102.68,138.0,98.58,08-Jun-23,2023-12-01,G08372,07-Jun-23
ACEGABA 400 1*10,EMCURE,AMBEY MEDICAL AGENCIES,1.0,E16AF22002,CAP[,141.12,220.5,157.5,02-Jan-23,2023-12-01,A029346,28-Dec-22
VOGLIMAC GM 1 10*,MACLEODS,SHRI RADHEY MEDICAL AGENCY,2.0,KVG2201B,TAB.,113.56,151.0,107.86,18-Jun-22,2023-12-01,G09255,17-Jun-22
MYLAMIN GN 1*10,MACLEODS,AMBEY MEDICAL AGENCIES,1.0,GC962001,TAB.,148.05,199.0,142.14,05-Dec-22,2023-12-01,A025766,28-Nov-22
NEXITO FORTE 10*R,SUN,AMBEY MEDICAL AGENCIES,0.5,GTD0087A,TAB.,124.08,165.0,117.86,06-Dec-22,2023-12-01,A026637,05-Dec-22
MYSOPEN -DSR 1*10,TRIGAT LIFE SCIENCE,AMAR MEDICAL AGENCIES,0.3,LGL07/079/17,CAP.,84.49,110.0,79.41,24-Nov-22,2023-12-01,G21542,24-Nov-22
MONTEK-FX 10*79,SUN,AMBEY MEDICAL AGENCIES,1.5,GKC1978A,TAB.,126.48,170.0,121.43,08-Dec-22,2023-12-01,A026920,07-Dec-22
RABIUM 20 MG 15*121,INTAS,SHRI RADHEY MEDICAL AGENCY,0.13,N2200254,TAB,95.23,128.0,91.43,06-Jun-22,2023-12-01,G07758,05-Jun-22
AZIVENT XL 200 SYP 30ML,ARISTO,LARI DRUG DISTRIBUTORS,2.0,MPA220435,SYP.,62.89,92.92,66.37,07-Oct-23,2023-12-01,A024817,05-Oct-23
TOLYB TABLET 10*,HETRO  LABS,P K PHARMA,1.0,TFA22024,TAB.,244.4,325.0,220.34,28-Feb-23,2023-12-01,A011198,27-Feb-23
TOLYB TABLET 10*,HETRO  LABS,P K PHARMA,0.2,TFA22010,TAB.,244.4,325.0,220.34,30-Aug-22,2023-12-01,A004725,29-Aug-22
TOLYB TABLET 10*,HETRO  LABS,P K PHARMA,0.4,TFA22006,TAB.,244.4,325.0,220.34,24-Aug-22,2023-12-01,A004459,23-Aug-22
GRAVITOR SR 1*10,SUN PHARMACEUTICAL L.T.D,ESTIMATE,3.0,GKD0829A,TAB.,100.0,439.0,100.0,22-Apr-23,2023-12-01,OUTDOR,22-Apr-23
GLYCOMET SR 850 1*10,USV PRIVATE LIMITED,SHRI RADHEY MEDICAL AGENCY,1.0,28022804,TAB.,32.0,42.56,30.4,18-Apr-22,2023-12-01,G02147,17-Apr-22
ETOSHINE 60 1*10,SUN PHARMACEUTICAL LTD,BHARAT MEDICAL AGENCIES,2.0,SIC1880A,TAB.,87.2,116.0,82.83,02-May-23,2023-12-01,G05317,01-May-23
GLYCOMET SR-500 20*R,USV LTD.,NARAYAN MEDICAL AGENCY,3.0,28022824,TAB.,32.0,43.01,30.72,18-May-22,2023-12-01,A002150,17-May-22
CLONIL 25MG 10*20,INTAS,NAVEEN MEDICO AGENCIES,0.1,N2100146,TAB,46.58,61.94,44.24,24-Mar-22,2023-12-01,0034204,23-Mar-22
GLYCOMET SR-500 20*R,USV LTD.,SHRI RADHEY MEDICAL AGENCY,0.1,28022838,TAB.,32.34,43.01,30.72,05-May-22,2023-12-01,G04150,04-May-22
TIMO-5 E/D 1*5ML,SYNTHO PHARMA,SHRI RANI SATI ASSOCIATES,1.0,T-058,DRP,46.93,62.4,44.58,11-Aug-22,2023-12-01,A002482,10-Aug-22
AMLOVAS H 1*15,MACLEODS,SHRI RADHEY MEDICAL AGENCY,0.0,KAF21001A,TAB.,69.48,92.4,66.0,20-Jul-21,2023-12-01,G13956,19-Jul-21
ETOXIRID-90 1*10,IQL HELTHCARE,A K PHARMA,0.1,APT-N1534,TAB.,87.64,114.0,81.51,06-Dec-22,2023-12-01,A004229,05-Dec-22
CTD-6.25 1*15,IPCA,SHRI RADHEY MEDICAL AGENCY,2.0,EKA082004AS,TAB.,67.37,93.55,66.83,05-Jul-23,2023-12-01,G11499,04-Jul-23
CTD-6.25 1*15,IPCA,SHRI RADHEY MEDICAL AGENCY,0.3,EXA082001AS,TAB.,67.36,93.55,66.82,15-Aug-22,2023-12-01,G15900,15-Aug-22
AMLOVAS-AT 25 1*15,MACLEODS,AMBEY MEDICAL AGENCIES,2.0,KAD21001A,CAP.,60.39,80.3,57.36,18-Aug-21,2023-12-01,0013371,17-Aug-21
EUREPA V 0.5/0.3 10*,TORRENT,AMBEY MEDICAL AGENCIES,2.0,2KR6H001,TAB.,105.8,140.7,100.5,22-Nov-21,2023-12-01,0023065,22-Nov-21
AMNURITE P 10*,HEALTH,JAI MATA JI MEDICAL HALL,2.0,AA032,TAB.,131.6,175.0,125.0,31-May-22,2023-12-01,A001883,30-May-22
GLUFORMIN G2 15*55,ABBOTT,NARAYAN MEDICAL AGENCY,5.0,AYH0036,TAB.,141.71,230.01,164.32,15-Mar-23,2023-12-01,A018597,09-Mar-23
SOLU MEDROL 500MG 8ML,PHARMACIA INDIA,,1.0,FD4046,INJ,856.01,1056.81,764.29,01-Apr-23,2023-12-01,,  -   -
GTN-PRO-2.6. 1*10,TORRENT,AL PHARMA,1.0,T22A154A,TAB.,52.63,70.0,49.99,21-Apr-22,2023-12-01,A002865,20-Apr-22
HOMOCHECK CAP 1*10,ALKEM,LARI DRUG DISTRIBUTORS,0.6,22510033,CAP,73.32,97.5,69.64,07-May-22,2023-12-01,A005212,06-May-22
ANGIPLAT.6.5 25*,MICRO LABS LTD.,RELIANCE RETAIL LTD,1.0,A652201,CAP.,157.71,207.5,148.22,23-Feb-23,2023-12-01,CSSG66220604,15-Feb-23
TOSSEX NEW SYP 1*R,ABBOTT LABS INDIA PVT. LTD.,KAURIRAM MEDICAL AGENCIES,1.0,TWA22016,TAB.,129.6,169.82,121.8,11-Nov-22,2023-12-01,0021870,08-Nov-22
ANGIPLAT.6.5 25*,MICRO LABS LTD.,VIKASH MEDICAL AGENCIES,2.0,A652203,CAP.,146.09,207.5,148.22,13-Sep-22,2023-12-01,0011609,12-Sep-22
ANAFORTAN TAB 1*15,CADILA,SHRI RADHEY MEDICAL AGENCY,2.2,KRH0028,TAB.,105.0,124.56,93.75,15-Aug-22,2023-12-01,G15900,15-Aug-22
SHELCAL-CT 15*R,TORRENT,SHRI RADHEY MEDICAL AGENCY,0.8,GAXC0018,TAB,235.16,312.7,223.36,12-Mar-23,2023-12-01,G43335,09-Mar-23
SIBELIUM 10MG 30*130,JOHNSON & JOHNSON,TULSYAN TRADERS,0.0,N446,TAB,128.15,158.15,121.73,21-Apr-21,2023-12-01,G02591,20-Apr-21
TONE N GLO BIG 100 GM,INTAS,MUKTA DISTRIBUTORS,1.0,O21TG001,CRE,233.12,310.0,210.17,16-Jun-21,2023-12-01,MD0008386,15-Jun-21
CTD T AM 6.25/40/5 10*,IPCA,AMBEY MEDICAL AGENCIES,0.4,PLJRAU24,TAB.,96.49,128.3,91.65,09-Jun-22,2023-12-01,A007072,08-Jun-22
SILYBON SYP 100 ML,MICRO LABS LTD.,ASHISH MEDICAL AGENCIES,1.0,SBSL425,SYRP,136.86,182.0,130.0,08-Apr-23,2023-12-01,A00955,07-Apr-23
SITDC-M 500 1*15,FDC,AMBEY MEDICAL AGENCIES,2.0,732J005,TAB.,89.49,119.0,85.0,18-Oct-23,2023-12-01,A024511,16-Oct-23
SIZODON-LS 10*137,SUN,TULSYAN PHARMA,0.3,RPB0589A,TAB.,48.74,65.5,46.79,06-May-21,2023-12-01,G04789,05-May-21
ANABOOM SERUM 60 ML,SPB LABORATORIE,MUKTA DISTRIBUTORS,1.0,LHZ0012,TAB.,985.13,1310.0,888.14,08-Apr-23,2023-12-01,MD001072,07-Apr-23
CLONAFIT-0.25 MD 1*10,MANKIND,SHRI RADHEY MEDICAL AGENCY,0.3,I3IAU006,TAB.,13.52,19.82,14.16,06-Nov-21,2023-12-01,G27386,06-Nov-21
HEPAKIND-150 1*10,MANKIND,TULSYAN PHARMA,1.0,H7AHV001,TAB.,129.14,175.45,133.68,05-Jun-22,2023-12-01,G08350,04-Jun-22
GUDCEF 100 1*10,MANKIND,LARI DRUG DISTRIBUTORS,0.4,B4AKV002,TAB.,88.18,129.0,92.14,30-Aug-22,2023-12-01,A023262,29-Aug-22
SILODOZON 4 1*10,ELDER,RAJ MEDICAL AGENCIES,3.0,GKD0183A,TAB.,141.39,188.0,134.3,19-May-22,2023-12-01,0004723,18-May-22
SENSIEYES PLUS E/D 10ML,LUPIN,TANISHQ PHARMA,1.0,A22001AH,EYED,308.73,410.55,293.25,22-Dec-22,2023-12-01,A034380,21-Dec-22
GLIMISAVE M2 1*15,ERIS LIFE SCIENCE,RAJ MEDICAL AGENCIES,1.0,GGLV21001,TAB.,125.39,166.67,119.1,25-May-21,2023-12-01,0004021,24-May-21
EVION LC TAB 10*R,MERCK,SHRI RADHEY MEDICAL AGENCY,0.2,2200C82303,TAB,38.95,51.8,37.0,26-Aug-22,2023-12-01,G17390,25-Aug-22
AMITOP 25 10*,TAS MED (INDIA),VIKASH MEDICAL AGENCIES,1.0,TMT-2169,TAB.,18.73,24.9,17.79,14-Sep-22,2023-12-01,0011723,13-Sep-22
TASULIN-D 1*15,IPCA,AMBEY MEDICAL AGENCIES,1.0,MJRAJ17,TAB.,323.78,430.5,307.54,20-Sep-22,2023-12-01,A017728,19-Sep-22
TAXIM 500MG/VI 1VIAL,ALKEM,SHRI RADHEY MEDICAL AGENCY,3.0,21180931,INJ,16.66,23.0,14.88,15-Sep-21,2023-12-01,G21190,14-Sep-21
TAZLOC 20 1*10,USV LTD.,SHRI RADHEY MEDICAL AGENCY,1.0,48016733,TAB.,30.33,40.77,29.12,24-May-22,2023-12-01,G06243,23-May-22
TAZLOC-H 1*10,USV PRIVATE LIMITED,NARAYAN MEDICAL AGENCY,1.0,48016530,TAB.,105.4,141.67,101.19,11-Aug-22,2023-12-01,A006525,10-Aug-22
TAZLOC TRIO 40 1*10,USV PRIVATE LIMITED,RAJ MEDICAL AGENCIES,1.0,APQ20023,TAB.,96.71,130.0,92.85,01-Nov-20,2023-12-01,0014606,01-Nov-20
FORACORT 400 ROTACAP 1*30,CIPLA (PROTEC),SHRI RADHEY MEDICAL AGENCY,1.0,SA20372,ROTO,161.25,216.72,154.8,08-Jun-22,2023-12-01,G07953,07-Jun-22
CORECTIL XP 1*4,TAS MED (INDIA),VIKASH MEDICAL AGENCIES,1.0,LGL01159,TAB.,209.06,278.0,198.57,16-Sep-22,2023-12-01,0011839,15-Sep-22
FORACORT 400 ROTACAP 1*30,CIPLA (PROTEC),SHRI RADHEY MEDICAL AGENCY,1.0,SA20137,ROTO,161.24,216.72,154.8,02-Jun-22,2023-12-01,G07435,02-Jun-22
FOLIHAIR 1*15,ABBOTT,YASH PHARMA,2.0,TLH0137,TAB.,247.68,338.0,228.15,07-May-23,2023-12-01,G02857,06-May-23
FAROBACT 200MG 1*6,CIPLA,SHRI RADHEY MEDICAL AGENCY,0.0,ADM22001,TAB.,658.29,630.28,750.33,09-Jan-23,2023-12-01,G35307,08-Jan-23
TELEKAST L 1*15,LUPIN,NARAYAN MEDICAL AGENCY,0.3,14TTL291,TAB.,196.09,295.3,210.94,11-Aug-22,2023-12-01,A006525,10-Aug-22
TELMA-40 30*145,GLENMARK,NAVEEN MEDICO AGENCIES,0.1,18210061,TAB.,162.5,220.75,157.7,22-Dec-21,2023-12-01,0025555,21-Dec-21
TELMA 80 AM 15*,GLENMARK,AGRAWAL MEDICINE,1.0,18210128,TAB.,283.88,377.5,269.64,07-Sep-21,2023-12-01,0028536,06-Sep-21
TELMA CT 40/6.25 15,GLENMARK,NARAYAN MEDICAL AGENCY,0.3,18210160,TAB.,167.44,227.5,162.5,12-Oct-21,2023-12-01,0007246,11-Oct-21
